"","timestamp","Region1_total","Region2_total","Region3_total","Region1_visible","Region1_hidden","Region2_visible","Region2_hidden","Region3_visible","Region3_hidden","Study_night","Kinkajou_Notes","Video_Notes"
"276",2019-12-17 21:52:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"277",2019-12-17 21:53:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"278",2019-12-17 21:54:09,0,0,0,0,0,0,0,0,0,3,NA,"no video 1:04:05"
"279",2019-12-17 21:55:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"280",2019-12-17 21:56:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"281",2019-12-17 21:57:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"282",2019-12-17 21:58:09,0,0,0,0,0,0,0,0,0,3,NA,"video back 1:08:59"
"283",2019-12-17 21:59:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"284",2019-12-17 22:00:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"285",2019-12-17 22:01:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"286",2019-12-17 22:02:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"287",2019-12-17 22:03:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"288",2019-12-17 22:04:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"289",2019-12-17 22:05:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"290",2019-12-17 22:06:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"291",2019-12-17 22:07:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"292",2019-12-17 22:08:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"293",2019-12-17 22:09:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"294",2019-12-17 22:10:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"295",2019-12-17 22:11:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"296",2019-12-17 22:12:09,0,0,0,0,0,0,0,0,0,3,NA,"no video 1:22:39"
"297",2019-12-17 22:13:09,0,0,0,0,0,0,0,0,0,3,NA,"video back 1:23:36"
"298",2019-12-17 22:14:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"299",2019-12-17 22:15:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"300",2019-12-17 22:16:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"301",2019-12-17 22:17:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"302",2019-12-17 22:18:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"303",2019-12-17 22:19:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"304",2019-12-17 22:20:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"305",2019-12-17 22:21:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"306",2019-12-17 22:22:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"307",2019-12-17 22:23:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"308",2019-12-17 22:24:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"309",2019-12-17 22:25:09,0,0,0,0,0,0,0,0,0,3,NA,NA
"310",2019-12-17 22:26:09,0,0,0,0,0,0,0,0,0,3,NA,NA
